Id,Type of housing,Area,Price,Metro name,Metro distance,District,Living space,Ceiling height,Floor,Max Floor
6029,квартира,29.38,4 090 000,Комендантский  проспект,3.8,Приморский район,14.3,2.6,7,24
6030,Студия,24.5,3 740 000,Комендантский  проспект,3.4,Приморский район,18.8,,9,19
6031,квартира,33.1,5 051 000,Комендантский  проспект,3.5,Приморский район,15.0,,10,25
6032,квартира,59.54,7 500 000,Комендантский  проспект,2.4,Приморский район,29.25,2.75,11,24
6033,квартира,37.3,4 741 000,Проспект Просвещения,3.7,Приморский район,12.0,2.7,21,26
6034,квартира,51.9,6 700 000,Комендантский  проспект,2.4,Приморский район,30.3,2.75,17,24
6035,квартира,36.58,4 800 000,Комендантский  проспект,2.4,Приморский район,13.8,2.75,14,24
6036,Студия,25.7,3 600 000,Комендантский  проспект,2.4,Приморский район,16.7,2.75,14,24
6037,квартира,56.0,5 250 000,Комендантский  проспект,3.3,Приморский район,32.1,,4,19
6038,Студия,21.21,2 950 000,Комендантский  проспект,2.9,Приморский район,13.71,,15,19
6039,Студия,28.1,2 950 000,Комендантский  проспект,3.1,Приморский район,20.0,,18,19
6040,квартира,45.0,5 150 000,Черная речка,1.6,Приморский район,28.5,2.51,2,5
6041,квартира,38.45,5 200 000,Комендантский  проспект,2.4,Приморский район,14.2,2.75,23,24
6042,квартира,49.9,6 300 000,Озерки,1.3,Приморский район,20.0,2.8,2,7
6043,квартира,61.0,11 394 000,Пионерская,0.9,Приморский район,28.04,3.0,14,19
6044,квартира,31.25,4 345 000,Комендантский  проспект,3.7,Приморский район,15.23,2.6,22,24
6045,квартира,60.0,10 702 000,Пионерская,0.9,Приморский район,27.48,3.0,15,19
6046,квартира,44.7,7 478 000,Пионерская,0.9,Приморский район,13.44,3.0,11,19
6047,Студия,24.44,3 260 000,Комендантский  проспект,3.8,Приморский район,18.23,,20,20
6048,квартира,38.5,6 100 000,Беговая,0.5,Приморский район,18.0,2.57,6,10
6049,квартира,47.8,7 000 000,Пионерская,5.4,Приморский район,18.3,,21,25
6050,квартира,53.8,7 900 000,Комендантский  проспект,3.5,Приморский район,25.3,2.72,21,25
6051,квартира,36.46,5 160 000,Комендантский  проспект,3.7,Приморский район,17.24,2.75,22,25
6052,квартира,36.42,4 910 000,Комендантский  проспект,3.8,Приморский район,17.78,2.75,12,25
6053,Студия,25.1,3 320 000,Комендантский  проспект,3.8,Приморский район,18.0,,22,25
6054,квартира,56.91,7 050 000,Комендантский  проспект,3.8,Приморский район,29.12,2.75,11,11
6055,квартира,50.16,6 750 000,Комендантский  проспект,3.7,Приморский район,26.29,2.75,6,25
6056,Студия,25.0,2 990 000,Комендантский  проспект,3.8,Приморский район,13.4,2.75,16,25
6057,квартира,34.31,4 820 000,Комендантский  проспект,3.8,Приморский район,15.11,2.75,25,25
6058,квартира,51.77,6 529 000,Комендантский  проспект,3.4,Приморский район,30.09,2.65,8,24
6059,квартира,39.1,4 500 000,Старая Деревня,1,Приморский район,20.2,2.67,9,14
6060,Студия,26.7,3 700 000,Беговая,2,Приморский район,19.7,,14,18
